"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m33735991965","2020-03-22","","2020-03-27","Alien Eau de Parfum 2 oz","Completed","Tennessee","California","34.00","4.99","0.00","3.40","0.00","0.00","0.00","30.60","0.00","0.00","0.00","0.00","0.00"
"m70842241076","2020-03-25","","2020-03-27","Women's Adidas Shorts NWOT","Completed","Kentucky","California","19.00","4.99","0.00","1.90","0.00","0.00","0.00","17.10","1.44","0.00","0.00","0.00","0.00"
"m50629309791","2020-03-25","","2020-03-27","Christian Dior Poison Girl Fragrance","Completed","Maryland","California","30.00","4.99","0.00","3.00","0.00","0.00","0.00","27.00","1.80","0.00","0.00","0.00","0.00"
"m75204374735","2020-03-25","","2020-03-28","CAbi Black Lace Shell Peplum Top Sz S","Completed","Montana","California","18.00","4.25","0.00","1.80","0.00","0.00","0.00","16.20","0.00","0.00","0.00","0.00","0.00"
"m37824612824","2020-03-27","","2020-03-30","Dior Gucci Mini Coffret Fragrance Set","Completed","Massachusetts","California","22.00","4.99","0.00","2.20","0.00","0.00","0.00","19.80","1.38","0.00","0.00","0.00","0.00"
"m94874986384","2020-03-27","","2020-03-30","WESTMORE BEAUTY Body Coverage Perfector","Completed","Ohio","California","40.00","0.00","4.25","4.00","0.00","0.00","0.00","31.75","3.20","0.00","0.00","0.00","0.00"
"m46687588977","2020-03-27","","2020-03-31","RITUALS Hamman Hair & Body Mist","Completed","Rhode Island","California","12.00","4.25","0.00","1.20","0.00","0.00","0.00","10.80","1.14","0.00","0.00","0.00","0.00"
"m89663872951","2020-03-27","","2020-03-31","New York and Company Faux Wrap Top","Completed","Michigan","California","17.00","4.25","0.00","1.70","0.00","0.00","0.00","15.30","0.00","0.00","0.00","0.00","0.00"
"m92855376969","2020-03-27","","2020-04-02","Ted Baker Floral Cosmetic Bag","Completed","Florida","California","17.00","4.25","0.00","1.70","0.00","0.00","0.00","15.30","0.00","0.00","0.00","0.00","0.00"
"m12996579832","2020-03-30","","2020-04-04","MICHAEL KORS Scarf and Beanie New","Completed","California","California","15.00","4.99","0.00","1.50","0.00","0.00","0.00","13.50","1.31","0.00","0.00","0.00","0.00"
"m87632687692","2020-04-11","","2020-04-13","La Vie Est Belle Parfum 1 oz Spray","Completed","Alabama","California","36.00","4.99","0.00","3.60","0.00","0.00","0.00","32.40","2.88","0.00","0.00","0.00","0.00"
"m44408688962","2020-04-08","","2020-04-15","BaByliss Pro Hairdryer","Completed","Missouri","California","24.00","9.55","0.00","2.40","0.00","0.00","0.00","21.60","0.00","0.00","0.00","0.00","0.00"
"m10077406366","2020-04-12","","2020-04-16","Six Bands Fits FITBIT Charge 3","Completed","Pennsylvania","California","19.00","4.25","0.00","1.90","0.00","0.00","0.00","17.10","1.40","0.00","0.00","0.00","0.00"
"m13759483024","2020-04-14","","2020-04-18","AVEDA Bundle Travel Size","Completed","California","California","10.00","4.60","0.00","1.00","0.00","0.00","0.00","9.00","0.95","0.00","0.00","0.00","0.00"
"m29758129468","2020-04-13","","2020-04-18","Lancome Tresor Eu de Parfum Spray","Completed","Texas","California","32.00","4.99","0.00","3.20","0.00","0.00","0.00","28.80","3.05","0.00","0.00","0.00","0.00"
"m66351509933","2020-04-13","","2020-04-18","Marc New York leopard mock neck  sweater","Completed","New York","California","12.00","4.25","0.00","1.20","0.00","0.00","0.00","10.80","0.00","0.00","0.00","0.00","0.00"
"m98320259908","2020-04-15","","2020-04-19","SCENTBIIRD Atomizer Fragrance Holder","Completed","South Carolina","California","10.00","4.99","0.00","1.00","0.00","0.00","0.00","9.00","1.05","0.00","0.00","0.00","0.00"
